"Date","count","covid_case","covid_trend"
2009-08-16,1187,0,0
2009-08-17,2586,0,0
2009-08-18,2531,0,0
2009-08-19,2687,0,0
2009-08-20,2492,0,0
2009-08-21,2530,0,0
2009-08-22,1404,0,0
2009-08-23,1121,0,0
2009-08-24,2715,0,0
2009-08-25,2583,0,0
2009-08-26,2723,0,0
2009-08-27,2601,0,0
2009-08-28,2541,0,0
2009-08-29,1373,0,0
2009-08-30,1022,0,0
2009-08-31,2766,0,0
2009-09-01,2693,0,0
2009-09-02,2718,0,0
2009-09-03,2633,0,0
2009-09-04,2747,0,0
2009-09-05,1392,0,0
2009-09-06,1212,0,0
2009-09-07,2648,0,0
2009-09-08,2644,0,0
2009-09-09,2698,0,0
2009-09-10,2584,0,0
2009-09-11,2629,0,0
2009-09-12,1311,0,0
2009-09-13,1164,0,0
2009-09-14,2686,0,0
2009-09-15,2677,0,0
2009-09-16,2658,0,0
2009-09-17,2631,0,0
2009-09-18,2570,0,0
2009-09-19,1317,0,0
2009-09-20,1048,0,0
2009-09-21,2240,0,0
2009-09-22,2469,0,0
2009-09-23,2487,0,0
2009-09-24,1709,0,0
2009-09-25,2364,0,0
2009-09-26,1216,0,0
2009-09-27,1020,0,0
2009-09-28,2514,0,0
2009-09-29,2323,0,0
2009-09-30,2277,0,0
2009-10-01,2282,0,0
2009-10-02,1041,0,0
2009-10-03,1035,0,0
2009-10-04,1117,0,0
2009-10-05,2447,0,0
2009-10-06,2584,0,0
2009-10-07,2613,0,0
2009-10-08,2546,0,0
2009-10-09,2479,0,0
2009-10-10,1226,0,0
2009-10-11,1099,0,0
2009-10-12,2560,0,0
2009-10-13,2424,0,0
2009-10-14,2445,0,0
2009-10-15,2424,0,0
2009-10-16,2490,0,0
2009-10-17,1301,0,0
2009-10-18,1028,0,0
2009-10-19,2561,0,0
2009-10-20,2400,0,0
2009-10-21,2449,0,0
2009-10-22,2471,0,0
2009-10-23,2443,0,0
2009-10-24,1212,0,0
2009-10-25,1105,0,0
2009-10-26,2457,0,0
2009-10-27,2466,0,0
2009-10-28,2502,0,0
2009-10-29,2377,0,0
2009-10-30,2518,0,0
2009-10-31,1274,0,0
2009-11-01,1050,0,0
2009-11-02,2373,0,0
2009-11-03,2255,0,0
2009-11-04,2433,0,0
2009-11-05,2489,0,0
2009-11-06,2464,0,0
2009-11-07,1291,0,0
2009-11-08,1027,0,0
